City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Samana,DO,19.2056,-69.3369,85.55,67,12,8.99
291,Matagami,CA,49.7502,-77.6328,39.31,87,75,10.36
292,Bani,DO,18.2833,-70.3333,85.86,57,9,12.24
293,Szany,HU,47.4642,17.304,46.67,81,0,4.61
294,Tibacuy,CO,4.3511,-72.4564,83.88,70,100,3.85
295,Lamin,GM,13.3522,-16.4339,84.31,76,0,7.87
296,Nuuk,GL,64.1835,-51.7216,31.86,49,100,7.07
297,Sonipat,IN,28.9833,77.0167,75.2,56,0,6.35
298,Lodja,CD,-3.4833,23.4333,68.2,98,100,1.68
299,Port-Cartier,CA,50.0334,-66.8654,48.42,65,10,11.99
300,New Port Richey,US,28.2442,-82.7193,73.13,49,0,5.01
301,Gubbi,IN,13.3106,76.9444,69.24,90,44,5.75
302,Havelock,US,34.8791,-76.9013,66.18,45,0,4.61
303,Palanga,LT,55.9175,21.0686,41.02,87,40,1.14
304,Monrovia,LR,6.3005,-10.7969,80.37,84,100,4.52
305,Castro,BR,-24.7911,-50.0119,65.52,81,100,6.06
306,Shache,CN,38.4167,77.2406,60.71,22,65,4.23
307,Puerto Carreno,CO,6.189,-67.4859,89.58,62,40,4.61
308,Goderich,CA,43.7501,-81.7165,44.91,87,100,18.41
309,Chudovo,RU,59.1167,31.6833,40.41,90,90,4.21
310,Barwala,IN,29.3833,75.9167,73.38,55,1,8.48
311,Sechura,PE,-5.5569,-80.8222,75.09,55,54,11.43
312,Moyo,UG,3.6609,31.7247,68.76,85,100,1.03
313,Cobija,BO,-11.0267,-68.7692,86.18,70,75,13.8
314,Maralal,KE,1.0968,36.698,64.44,54,100,17.65
315,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,19.57
316,Oussouye,SN,12.485,-16.5469,86.18,82,6,6.44
317,Lagoa,PT,39.05,-27.9833,65.53,71,1,21.0
318,Richards Bay,ZA,-28.783,32.0377,72.16,85,10,4.68
319,Abatskoye,RU,56.2875,70.4555,37.51,88,7,9.13
320,Lurgan,GB,54.4608,-6.3294,55.02,93,100,6.93
321,Pasni,PK,25.2631,63.471,81.01,51,0,6.76
322,Goure,NE,13.9835,10.2704,87.62,17,100,12.59
323,Dangriga,BZ,16.9692,-88.2321,80.98,74,89,12.53
324,Dibulla,CO,11.2725,-73.3091,86.45,70,57,7.63
